Number,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary
198,Murkrow,16,18,405,60,85,42,85,42,91,2,0
199,Slowking,3,11,490,95,75,80,100,110,30,2,0
200,Misdreavus,13,0,435,60,60,60,85,85,85,2,0
201,Unown,11,0,336,48,72,48,72,48,48,2,0
202,Wobbuffet,11,0,405,190,33,58,33,58,33,2,0
203,Girafarig,5,11,455,70,80,65,90,65,85,2,0
204,Pineco,4,0,290,50,65,90,35,35,15,2,0
205,Forretress,4,17,465,75,90,140,60,60,40,2,0
206,Dunsparce,5,0,415,100,70,70,65,65,45,2,0
207,Gligar,8,18,430,65,75,105,35,65,85,2,0
208,Steelix,17,8,510,75,85,200,55,65,30,2,0
209,Snubbull,9,0,300,60,80,50,40,40,30,2,0
210,Granbull,9,0,450,90,120,75,60,60,45,2,0
211,Qwilfish,3,6,430,65,95,75,55,55,85,2,0
212,Scizor,4,17,500,70,130,100,55,80,65,2,0
213,Shuckle,4,12,505,20,10,230,10,230,5,2,0
214,Heracross,4,10,500,80,125,75,40,95,85,2,0
215,Sneasel,16,14,430,55,95,55,35,75,115,2,0
216,Teddiursa,5,0,330,60,80,50,50,50,40,2,0
217,Ursaring,5,0,500,90,130,75,75,75,55,2,0
218,Slugma,2,0,250,40,40,40,70,40,20,2,0
219,Magcargo,2,12,410,50,50,120,80,80,30,2,0
220,Swinub,14,8,250,50,50,40,30,30,50,2,0
221,Piloswine,14,8,450,100,100,80,60,60,50,2,0
222,Corsola,3,12,380,55,55,85,65,85,35,2,0
223,Remoraid,3,0,300,35,65,35,65,35,65,2,0
224,Octillery,3,0,480,75,105,75,105,75,45,2,0
225,Delibird,14,18,330,45,55,45,65,45,75,2,0
226,Mantine,3,18,465,65,40,70,80,140,70,2,0
227,Skarmory,17,18,465,65,80,140,40,70,70,2,0
228,Houndour,16,2,330,45,60,30,80,50,65,2,0
229,Houndoom,16,2,500,75,90,50,110,80,95,2,0
230,Kingdra,3,15,540,75,95,95,95,95,85,2,0
231,Phanpy,8,0,330,90,60,60,40,40,40,2,0
232,Donphan,8,0,500,90,120,120,60,60,50,2,0
233,Porygon2,5,0,515,85,80,90,105,95,60,2,0
234,Stantler,5,0,465,73,95,62,85,65,85,2,0
235,Smeargle,5,0,250,55,20,35,20,45,75,2,0
236,Tyrogue,10,0,210,35,35,35,35,35,35,2,0
237,Hitmontop,10,0,455,50,95,95,35,110,70,2,0
238,Smoochum,14,11,305,45,30,15,85,65,65,2,0
239,Elekid,7,0,360,45,63,37,65,55,95,2,0
240,Magby,2,0,365,45,75,37,70,55,83,2,0
241,Miltank,5,0,490,95,80,105,40,70,100,2,0
242,Blissey,5,0,540,255,10,10,75,135,55,2,0
243,Raikou,7,0,580,90,85,75,115,100,115,2,1
244,Entei,2,0,580,115,115,85,90,75,100,2,1
245,Suicune,3,0,580,100,75,115,90,115,85,2,1
246,Larvitar,12,8,300,50,64,50,45,50,41,2,0
247,Pupitar,12,8,410,70,84,70,65,70,51,2,0
248,Tyranitar,12,16,600,100,134,110,95,100,61,2,0
249,Lugia,11,18,680,106,90,130,90,154,110,2,1
250,Ho-Oh,2,18,680,106,130,90,110,154,90,2,1
251,Celebi,11,1,600,100,100,100,100,100,100,2,0
252,Treecko,1,0,310,40,45,35,65,55,70,3,0
253,Grovyle,1,0,405,50,65,45,85,65,95,3,0
254,Sceptile,1,0,530,70,85,65,105,85,120,3,0
255,Torchic,2,0,310,45,60,40,70,50,45,3,0
256,Combusken,2,10,405,60,85,60,85,60,55,3,0
257,Blaziken,2,10,530,80,120,70,110,70,80,3,0
258,Mudkip,3,0,310,50,70,50,50,50,40,3,0
259,Marshtomp,3,8,405,70,85,70,60,70,50,3,0
260,Swampert,3,8,535,100,110,90,85,90,60,3,0
261,Poochyena,16,0,220,35,55,35,30,30,35,3,0
262,Mightyena,16,0,420,70,90,70,60,60,70,3,0
263,Zigzagoon,5,0,240,38,30,41,30,41,60,3,0
264,Linoone,5,0,420,78,70,61,50,61,100,3,0
265,Wurmple,4,0,195,45,45,35,20,30,20,3,0
266,Silcoon,4,0,205,50,35,55,25,25,15,3,0
267,Beautifly,4,18,395,60,70,50,100,50,65,3,0
268,Cascoon,4,0,205,50,35,55,25,25,15,3,0
269,Dustox,4,6,385,60,50,70,50,90,65,3,0
270,Lotad,3,1,220,40,30,30,40,50,30,3,0
271,Lombre,3,1,340,60,50,50,60,70,50,3,0
272,Ludicolo,3,1,480,80,70,70,90,100,70,3,0
273,Seedot,1,0,220,40,40,50,30,30,30,3,0
274,Nuzleaf,1,16,340,70,70,40,60,40,60,3,0
275,Shiftry,1,16,480,90,100,60,90,60,80,3,0
276,Taillow,5,18,270,40,55,30,30,30,85,3,0
277,Swellow,5,18,430,60,85,60,50,50,125,3,0
278,Wingull,3,18,270,40,30,30,55,30,85,3,0
279,Pelipper,3,18,430,60,50,100,85,70,65,3,0
280,Ralts,11,9,198,28,25,25,45,35,40,3,0
281,Kirlia,11,9,278,38,35,35,65,55,50,3,0
282,Gardevoir,11,9,518,68,65,65,125,115,80,3,0
283,Surskit,4,3,269,40,30,32,50,52,65,3,0
284,Masquerain,4,18,414,70,60,62,80,82,60,3,0
285,Shroomish,1,0,295,60,40,60,40,60,35,3,0
286,Breloom,1,10,460,60,130,80,60,60,70,3,0
287,Slakoth,5,0,280,60,60,60,35,35,30,3,0
288,Vigoroth,5,0,440,80,80,80,55,55,90,3,0
289,Slaking,5,0,670,150,160,100,95,65,100,3,0
290,Nincada,4,8,266,31,45,90,30,30,40,3,0
291,Ninjask,4,18,456,61,90,45,50,50,160,3,0
292,Shedinja,4,13,236,1,90,45,30,30,40,3,0
293,Whismur,5,0,240,64,51,23,51,23,28,3,0
294,Loudred,5,0,360,84,71,43,71,43,48,3,0
295,Exploud,5,0,490,104,91,63,91,73,68,3,0
296,Makuhita,10,0,237,72,60,30,20,30,25,3,0
297,Hariyama,10,0,474,144,120,60,40,60,50,3,0
298,Azurill,5,9,190,50,20,40,20,40,20,3,0
299,Nosepass,12,0,375,30,45,135,45,90,30,3,0
300,Skitty,5,0,260,50,45,45,35,35,50,3,0
301,Delcatty,5,0,380,70,65,65,55,55,70,3,0
302,Sableye,16,13,380,50,75,75,65,65,50,3,0
303,Mawile,17,9,380,50,85,85,55,55,50,3,0
304,Aron,17,12,330,50,70,100,40,40,30,3,0
305,Lairon,17,12,430,60,90,140,50,50,40,3,0
306,Aggron,17,12,530,70,110,180,60,60,50,3,0
307,Meditite,10,11,280,30,40,55,40,55,60,3,0
308,Medicham,10,11,410,60,60,75,60,75,80,3,0
309,Electrike,7,0,295,40,45,40,65,40,65,3,0
310,Manectric,7,0,475,70,75,60,105,60,105,3,0
311,Plusle,7,0,405,60,50,40,85,75,95,3,0
312,Minun,7,0,405,60,40,50,75,85,95,3,0
313,Volbeat,4,0,400,65,73,55,47,75,85,3,0
314,Illumise,4,0,400,65,47,55,73,75,85,3,0
315,Roselia,1,6,400,50,60,45,100,80,65,3,0
316,Gulpin,6,0,302,70,43,53,43,53,40,3,0
317,Swalot,6,0,467,100,73,83,73,83,55,3,0
318,Carvanha,3,16,305,45,90,20,65,20,65,3,0
319,Sharpedo,3,16,460,70,120,40,95,40,95,3,0
320,Wailmer,3,0,400,130,70,35,70,35,60,3,0
321,Wailord,3,0,500,170,90,45,90,45,60,3,0
322,Numel,2,8,305,60,60,40,65,45,35,3,0
323,Camerupt,2,8,460,70,100,70,105,75,40,3,0
324,Torkoal,2,0,470,70,85,140,85,70,20,3,0
325,Spoink,11,0,330,60,25,35,70,80,60,3,0
326,Grumpig,11,0,470,80,45,65,90,110,80,3,0
327,Spinda,5,0,360,60,60,60,60,60,60,3,0
328,Trapinch,8,0,290,45,100,45,45,45,10,3,0
329,Vibrava,8,15,340,50,70,50,50,50,70,3,0
330,Flygon,8,15,520,80,100,80,80,80,100,3,0
331,Cacnea,1,0,335,50,85,40,85,40,35,3,0
332,Cacturne,1,16,475,70,115,60,115,60,55,3,0
333,Swablu,5,18,310,45,40,60,40,75,50,3,0
334,Altaria,15,18,490,75,70,90,70,105,80,3,0
335,Zangoose,5,0,458,73,115,60,60,60,90,3,0
336,Seviper,6,0,458,73,100,60,100,60,65,3,0
337,Lunatone,12,11,440,70,55,65,95,85,70,3,0
338,Solrock,12,11,440,70,95,85,55,65,70,3,0
339,Barboach,3,8,288,50,48,43,46,41,60,3,0
340,Whiscash,3,8,468,110,78,73,76,71,60,3,0
341,Corphish,3,0,308,43,80,65,50,35,35,3,0
342,Crawdaunt,3,16,468,63,120,85,90,55,55,3,0
343,Baltoy,8,11,300,40,40,55,40,70,55,3,0
344,Claydol,8,11,500,60,70,105,70,120,75,3,0
345,Lileep,12,1,355,66,41,77,61,87,23,3,0
346,Cradily,12,1,495,86,81,97,81,107,43,3,0
347,Anorith,12,4,355,45,95,50,40,50,75,3,0
348,Armaldo,12,4,495,75,125,100,70,80,45,3,0
349,Feebas,3,0,200,20,15,20,10,55,80,3,0
350,Milotic,3,0,540,95,60,79,100,125,81,3,0
351,Castform,5,0,420,70,70,70,70,70,70,3,0
352,Kecleon,5,0,440,60,90,70,60,120,40,3,0
353,Shuppet,13,0,295,44,75,35,63,33,45,3,0
354,Banette,13,0,455,64,115,65,83,63,65,3,0
355,Duskull,13,0,295,20,40,90,30,90,25,3,0
356,Dusclops,13,0,455,40,70,130,60,130,25,3,0
357,Tropius,1,18,460,99,68,83,72,87,51,3,0
358,Chimecho,11,0,425,65,50,70,95,80,65,3,0
359,Absol,16,0,465,65,130,60,75,60,75,3,0
360,Wynaut,11,0,260,95,23,48,23,48,23,3,0
361,Snorunt,14,0,300,50,50,50,50,50,50,3,0
362,Glalie,14,0,480,80,80,80,80,80,80,3,0
363,Spheal,14,3,290,70,40,50,55,50,25,3,0
364,Sealeo,14,3,410,90,60,70,75,70,45,3,0
365,Walrein,14,3,530,110,80,90,95,90,65,3,0
366,Clamperl,3,0,345,35,64,85,74,55,32,3,0
367,Huntail,3,0,485,55,104,105,94,75,52,3,0
368,Gorebyss,3,0,485,55,84,105,114,75,52,3,0
369,Relicanth,3,12,485,100,90,130,45,65,55,3,0
370,Luvdisc,3,0,330,43,30,55,40,65,97,3,0
371,Bagon,15,0,300,45,75,60,40,30,50,3,0
372,Shelgon,15,0,420,65,95,100,60,50,50,3,0
373,Salamence,15,18,600,95,135,80,110,80,100,3,0
374,Beldum,17,11,300,40,55,80,35,60,30,3,0
375,Metang,17,11,420,60,75,100,55,80,50,3,0
376,Metagross,17,11,600,80,135,130,95,90,70,3,0
377,Regirock,12,0,580,80,100,200,50,100,50,3,1
378,Regice,14,0,580,80,50,100,100,200,50,3,1
379,Registeel,17,0,580,80,75,150,75,150,50,3,1
380,Latias,15,11,600,80,80,90,110,130,110,3,1
381,Latios,15,11,600,80,90,80,130,110,110,3,1
382,Kyogre,3,0,670,100,100,90,150,140,90,3,1
383,Groudon,8,0,670,100,150,140,100,90,90,3,1
384,Rayquaza,15,18,680,105,150,90,150,90,95,3,1
385,Jirachi,17,11,600,100,100,100,100,100,100,3,1
386,Deoxys,11,0,600,50,150,50,150,50,150,3,1
387,Turtwig,1,0,318,55,68,64,45,55,31,4,0
388,Grotle,1,0,405,75,89,85,55,65,36,4,0
389,Torterra,1,8,525,95,109,105,75,85,56,4,0
390,Chimchar,2,0,309,44,58,44,58,44,61,4,0
391,Monferno,2,10,405,64,78,52,78,52,81,4,0
392,Infernape,2,10,534,76,104,71,104,71,108,4,0
393,Piplup,3,0,314,53,51,53,61,56,40,4,0
394,Prinplup,3,0,405,64,66,68,81,76,50,4,0
395,Empoleon,3,17,530,84,86,88,111,101,60,4,0
396,Starly,5,18,245,40,55,30,30,30,60,4,0
397,Staravia,5,18,340,55,75,50,40,40,80,4,0
398,Staraptor,5,18,485,85,120,70,50,60,100,4,0
399,Bidoof,5,0,250,59,45,40,35,40,31,4,0
400,Bibarel,5,3,410,79,85,60,55,60,71,4,0
401,Kricketot,4,0,194,37,25,41,25,41,25,4,0
402,Kricketune,4,0,384,77,85,51,55,51,65,4,0
403,Shinx,7,0,263,45,65,34,40,34,45,4,0
404,Luxio,7,0,363,60,85,49,60,49,60,4,0
405,Luxray,7,0,523,80,120,79,95,79,70,4,0
406,Budew,1,6,280,40,30,35,50,70,55,4,0
407,Roserade,1,6,515,60,70,65,125,105,90,4,0
408,Cranidos,12,0,350,67,125,40,30,30,58,4,0
409,Rampardos,12,0,495,97,165,60,65,50,58,4,0
410,Shieldon,12,17,350,30,42,118,42,88,30,4,0
411,Bastiodon,12,17,495,60,52,168,47,138,30,4,0
412,Burmy,4,0,224,40,29,45,29,45,36,4,0
413,Wormadam,4,1,424,60,59,85,79,105,36,4,0
414,Mothim,4,18,424,70,94,50,94,50,66,4,0
415,Combee,4,18,244,30,30,42,30,42,70,4,0
416,Vespiquen,4,18,474,70,80,102,80,102,40,4,0
417,Pachirisu,7,0,405,60,45,70,45,90,95,4,0
418,Buizel,3,0,330,55,65,35,60,30,85,4,0
419,Floatzel,3,0,495,85,105,55,85,50,115,4,0
420,Cherubi,1,0,275,45,35,45,62,53,35,4,0
421,Cherrim,1,0,450,70,60,70,87,78,85,4,0
422,Shellos,3,0,325,76,48,48,57,62,34,4,0
423,Gastrodon,3,8,475,111,83,68,92,82,39,4,0
424,Ambipom,5,0,482,75,100,66,60,66,115,4,0
425,Drifloon,13,18,348,90,50,34,60,44,70,4,0
426,Drifblim,13,18,498,150,80,44,90,54,80,4,0
427,Buneary,5,0,350,55,66,44,44,56,85,4,0
428,Lopunny,5,0,480,65,76,84,54,96,105,4,0
429,Mismagius,13,0,495,60,60,60,105,105,105,4,0
430,Honchkrow,16,18,505,100,125,52,105,52,71,4,0
431,Glameow,5,0,310,49,55,42,42,37,85,4,0
432,Purugly,5,0,452,71,82,64,64,59,112,4,0
433,Chingling,11,0,285,45,30,50,65,50,45,4,0
434,Stunky,6,16,329,63,63,47,41,41,74,4,0
435,Skuntank,6,16,479,103,93,67,71,61,84,4,0
436,Bronzor,17,11,300,57,24,86,24,86,23,4,0
437,Bronzong,17,11,500,67,89,116,79,116,33,4,0
438,Bonsly,12,0,290,50,80,95,10,45,10,4,0
439,Mime_Jr.,11,9,310,20,25,45,70,90,60,4,0
440,Happiny,5,0,220,100,5,5,15,65,30,4,0
441,Chatot,5,18,411,76,65,45,92,42,91,4,0
442,Spiritomb,13,16,485,50,92,108,92,108,35,4,0
443,Gible,15,8,300,58,70,45,40,45,42,4,0
444,Gabite,15,8,410,68,90,65,50,55,82,4,0
445,Garchomp,15,8,600,108,130,95,80,85,102,4,0
446,Munchlax,5,0,390,135,85,40,40,85,5,4,0
447,Riolu,10,0,285,40,70,40,35,40,60,4,0
448,Lucario,10,17,525,70,110,70,115,70,90,4,0
449,Hippopotas,8,0,330,68,72,78,38,42,32,4,0
450,Hippowdon,8,0,525,108,112,118,68,72,47,4,0
451,Skorupi,6,4,330,40,50,90,30,55,65,4,0
452,Drapion,6,16,500,70,90,110,60,75,95,4,0
453,Croagunk,6,10,300,48,61,40,61,40,50,4,0
454,Toxicroak,6,10,490,83,106,65,86,65,85,4,0
455,Carnivine,1,0,454,74,100,72,90,72,46,4,0
456,Finneon,3,0,330,49,49,56,49,61,66,4,0
457,Lumineon,3,0,460,69,69,76,69,86,91,4,0
458,Mantyke,3,18,345,45,20,50,60,120,50,4,0
459,Snover,1,14,334,60,62,50,62,60,40,4,0
460,Abomasnow,1,14,494,90,92,75,92,85,60,4,0
461,Weavile,16,14,510,70,120,65,45,85,125,4,0
462,Magnezone,7,17,535,70,70,115,130,90,60,4,0
463,Lickilicky,5,0,515,110,85,95,80,95,50,4,0
464,Rhyperior,8,12,535,115,140,130,55,55,40,4,0
465,Tangrowth,1,0,535,100,100,125,110,50,50,4,0
466,Electivire,7,0,540,75,123,67,95,85,95,4,0
467,Magmortar,2,0,540,75,95,67,125,95,83,4,0
468,Togekiss,9,18,545,85,50,95,120,115,80,4,0
469,Yanmega,4,18,515,86,76,86,116,56,95,4,0
